property,contour,tesla,bev_num
1000 Van Ness,5,"Other
BEV",60
1000 Van Ness,5,Tesla,88
1000 Van Ness,7,"Other
BEV",146
1000 Van Ness,7,Tesla,218
1000 Van Ness,10,"Other
BEV",643
1000 Van Ness,10,Tesla,688
2Rodeo - CBRE,5,"Other
BEV",62
2Rodeo - CBRE,5,Tesla,220
2Rodeo - CBRE,7,"Other
BEV",170
2Rodeo - CBRE,7,Tesla,566
2Rodeo - CBRE,10,"Other
BEV",550
2Rodeo - CBRE,10,Tesla,1456
600 California,5,"Other
BEV",230
600 California,5,Tesla,131
600 California,7,"Other
BEV",447
600 California,7,Tesla,289
600 California,10,"Other
BEV",593
600 California,10,Tesla,604
8000 Sunset Strip,5,"Other
BEV",478
8000 Sunset Strip,5,Tesla,476
8000 Sunset Strip,7,"Other
BEV",840
8000 Sunset Strip,7,Tesla,1058
8000 Sunset Strip,10,"Other
BEV",1476
8000 Sunset Strip,10,Tesla,2092
ABB San Jose Headquarters,5,"Other
BEV",92
ABB San Jose Headquarters,5,Tesla,79
ABB San Jose Headquarters,7,"Other
BEV",442
ABB San Jose Headquarters,7,Tesla,361
ABB San Jose Headquarters,10,"Other
BEV",882
ABB San Jose Headquarters,10,Tesla,763
Anaheim Plaza,5,"Other
BEV",29
Anaheim Plaza,5,Tesla,30
Anaheim Plaza,7,"Other
BEV",78
Anaheim Plaza,7,Tesla,70
Anaheim Plaza,10,"Other
BEV",312
Anaheim Plaza,10,Tesla,215
Apollo Center,5,"Other
BEV",24
Apollo Center,5,Tesla,43
Apollo Center,7,"Other
BEV",59
Apollo Center,7,Tesla,94
Apollo Center,10,"Other
BEV",144
Apollo Center,10,Tesla,156
Applegate Ranch,5,"Other
BEV",2
Applegate Ranch,5,Tesla,0
Applegate Ranch,7,"Other
BEV",10
Applegate Ranch,7,Tesla,2
Applegate Ranch,10,"Other
BEV",25
Applegate Ranch,10,Tesla,7
Brea Mall,5,"Other
BEV",22
Brea Mall,5,Tesla,19
Brea Mall,7,"Other
BEV",86
Brea Mall,7,Tesla,91
Brea Mall,10,"Other
BEV",246
Brea Mall,10,Tesla,278
Bridgeport Marketplace,5,"Other
BEV",49
Bridgeport Marketplace,5,Tesla,43
Bridgeport Marketplace,7,"Other
BEV",157
Bridgeport Marketplace,7,Tesla,151
Bridgeport Marketplace,10,"Other
BEV",343
Bridgeport Marketplace,10,Tesla,346
Bristol Farms West Hollywood,5,"Other
BEV",114
Bristol Farms West Hollywood,5,Tesla,360
Bristol Farms West Hollywood,7,"Other
BEV",253
Bristol Farms West Hollywood,7,Tesla,733
Bristol Farms West Hollywood,10,"Other
BEV",647
Bristol Farms West Hollywood,10,Tesla,1443
Bristol Plaza - Santa Ana,5,"Other
BEV",52
Bristol Plaza - Santa Ana,5,Tesla,91
Bristol Plaza - Santa Ana,7,"Other
BEV",132
Bristol Plaza - Santa Ana,7,Tesla,208
Bristol Plaza - Santa Ana,10,"Other
BEV",306
Bristol Plaza - Santa Ana,10,Tesla,518
Broadway Plaza,5,"Other
BEV",6
Broadway Plaza,5,Tesla,3
Broadway Plaza,7,"Other
BEV",14
Broadway Plaza,7,Tesla,10
Broadway Plaza,10,"Other
BEV",59
Broadway Plaza,10,Tesla,25
Burlingame - Chula Vista Lot,5,"Other
BEV",101
Burlingame - Chula Vista Lot,5,Tesla,179
Burlingame - Chula Vista Lot,7,"Other
BEV",225
Burlingame - Chula Vista Lot,7,Tesla,411
Burlingame - Chula Vista Lot,10,"Other
BEV",479
Burlingame - Chula Vista Lot,10,Tesla,819
Camarillo Premium Outlets,5,"Other
BEV",1
Camarillo Premium Outlets,5,Tesla,1
Camarillo Premium Outlets,7,"Other
BEV",6
Camarillo Premium Outlets,7,Tesla,6
Camarillo Premium Outlets,10,"Other
BEV",64
Camarillo Premium Outlets,10,Tesla,77
Camino Town and Country,5,"Other
BEV",22
Camino Town and Country,5,Tesla,24
Camino Town and Country,7,"Other
BEV",84
Camino Town and Country,7,Tesla,80
Camino Town and Country,10,"Other
BEV",273
Camino Town and Country,10,Tesla,218
Canyon Country Plaza,5,"Other
BEV",36
Canyon Country Plaza,5,Tesla,16
Canyon Country Plaza,7,"Other
BEV",73
Canyon Country Plaza,7,Tesla,39
Canyon Country Plaza,10,"Other
BEV",153
Canyon Country Plaza,10,Tesla,112
Carlsbad Premium Outlets,5,"Other
BEV",5
Carlsbad Premium Outlets,5,Tesla,5
Carlsbad Premium Outlets,7,"Other
BEV",37
Carlsbad Premium Outlets,7,Tesla,56
Carlsbad Premium Outlets,10,"Other
BEV",137
Carlsbad Premium Outlets,10,Tesla,196
Chevron #207718 - Willow Road,5,"Other
BEV",47
Chevron #207718 - Willow Road,5,Tesla,54
Chevron #207718 - Willow Road,7,"Other
BEV",170
Chevron #207718 - Willow Road,7,Tesla,211
Chevron #207718 - Willow Road,10,"Other
BEV",872
Chevron #207718 - Willow Road,10,Tesla,1242
Chevron #91965 - Santa Monica Blvd,5,"Other
BEV",208
Chevron #91965 - Santa Monica Blvd,5,Tesla,420
Chevron #91965 - Santa Monica Blvd,7,"Other
BEV",448
Chevron #91965 - Santa Monica Blvd,7,Tesla,895
Chevron #91965 - Santa Monica Blvd,10,"Other
BEV",951
Chevron #91965 - Santa Monica Blvd,10,Tesla,1829
CIM - La Brea HPCP,5,"Other
BEV",178
CIM - La Brea HPCP,5,Tesla,154
CIM - La Brea HPCP,7,"Other
BEV",352
CIM - La Brea HPCP,7,Tesla,331
CIM - La Brea HPCP,10,"Other
BEV",726
CIM - La Brea HPCP,10,Tesla,706
City of Clovis,5,"Other
BEV",23
City of Clovis,5,Tesla,10
City of Clovis,7,"Other
BEV",51
City of Clovis,7,Tesla,21
City of Clovis,10,"Other
BEV",140
City of Clovis,10,Tesla,53
City of Foster City Police Station - HPCP,5,"Other
BEV",265
City of Foster City Police Station - HPCP,5,Tesla,228
City of Foster City Police Station - HPCP,7,"Other
BEV",430
City of Foster City Police Station - HPCP,7,Tesla,395
City of Foster City Police Station - HPCP,10,"Other
BEV",661
City of Foster City Police Station - HPCP,10,Tesla,640
City of Hermosa Beach Parking,5,"Other
BEV",94
City of Hermosa Beach Parking,5,Tesla,163
City of Hermosa Beach Parking,7,"Other
BEV",193
City of Hermosa Beach Parking,7,Tesla,316
City of Hermosa Beach Parking,10,"Other
BEV",555
City of Hermosa Beach Parking,10,Tesla,915
City of Millbrae - Broadway,5,"Other
BEV",72
City of Millbrae - Broadway,5,Tesla,109
City of Millbrae - Broadway,7,"Other
BEV",181
City of Millbrae - Broadway,7,Tesla,320
City of Millbrae - Broadway,10,"Other
BEV",460
City of Millbrae - Broadway,10,Tesla,756
City of Newport Beach,5,"Other
BEV",44
City of Newport Beach,5,Tesla,273
City of Newport Beach,7,"Other
BEV",129
City of Newport Beach,7,Tesla,755
City of Newport Beach,10,"Other
BEV",313
City of Newport Beach,10,Tesla,1570
City of Sacramento - Southside Park HPCP,5,"Other
BEV",29
City of Sacramento - Southside Park HPCP,5,Tesla,13
City of Sacramento - Southside Park HPCP,7,"Other
BEV",92
City of Sacramento - Southside Park HPCP,7,Tesla,33
City of Sacramento - Southside Park HPCP,10,"Other
BEV",350
City of Sacramento - Southside Park HPCP,10,Tesla,159
City of San Mateo - Freedom Station,5,"Other
BEV",60
City of San Mateo - Freedom Station,5,Tesla,44
City of San Mateo - Freedom Station,7,"Other
BEV",159
City of San Mateo - Freedom Station,7,Tesla,176
City of San Mateo - Freedom Station,10,"Other
BEV",425
City of San Mateo - Freedom Station,10,Tesla,628
City of St. Helena,5,"Other
BEV",15
City of St. Helena,5,Tesla,30
City of St. Helena,7,"Other
BEV",31
City of St. Helena,7,Tesla,63
City of St. Helena,10,"Other
BEV",36
City of St. Helena,10,Tesla,76
City of Union City,5,"Other
BEV",95
City of Union City,5,Tesla,66
City of Union City,7,"Other
BEV",203
City of Union City,7,Tesla,142
City of Union City,10,"Other
BEV",529
City of Union City,10,Tesla,327
City of Visalia,5,"Other
BEV",3
City of Visalia,5,Tesla,4
City of Visalia,7,"Other
BEV",12
City of Visalia,7,Tesla,10
City of Visalia,10,"Other
BEV",36
City of Visalia,10,Tesla,34
Clovis Commons,5,"Other
BEV",38
Clovis Commons,5,Tesla,19
Clovis Commons,7,"Other
BEV",92
Clovis Commons,7,Tesla,46
Clovis Commons,10,"Other
BEV",208
Clovis Commons,10,Tesla,101
Corona Hills Plaza,5,"Other
BEV",16
Corona Hills Plaza,5,Tesla,11
Corona Hills Plaza,7,"Other
BEV",47
Corona Hills Plaza,7,Tesla,34
Corona Hills Plaza,10,"Other
BEV",118
Corona Hills Plaza,10,Tesla,85
Country Fair Shopping Center,5,"Other
BEV",8
Country Fair Shopping Center,5,Tesla,4
Country Fair Shopping Center,7,"Other
BEV",36
Country Fair Shopping Center,7,Tesla,25
Country Fair Shopping Center,10,"Other
BEV",130
Country Fair Shopping Center,10,Tesla,98
Culver City stations,5,"Other
BEV",197
Culver City stations,5,Tesla,132
Culver City stations,7,"Other
BEV",426
Culver City stations,7,Tesla,306
Culver City stations,10,"Other
BEV",1001
Culver City stations,10,Tesla,906
Cupertino Village,5,"Other
BEV",284
Cupertino Village,5,Tesla,196
Cupertino Village,7,"Other
BEV",893
Cupertino Village,7,Tesla,610
Cupertino Village,10,"Other
BEV",3296
Cupertino Village,10,Tesla,2516
Del Amo Fashion Center,5,"Other
BEV",42
Del Amo Fashion Center,5,Tesla,36
Del Amo Fashion Center,7,"Other
BEV",155
Del Amo Fashion Center,7,Tesla,123
Del Amo Fashion Center,10,"Other
BEV",451
Del Amo Fashion Center,10,Tesla,423
Del Norte Plaza,5,"Other
BEV",7
Del Norte Plaza,5,Tesla,2
Del Norte Plaza,7,"Other
BEV",38
Del Norte Plaza,7,Tesla,11
Del Norte Plaza,10,"Other
BEV",135
Del Norte Plaza,10,Tesla,41
Desert Hills Premium Outlets,10,"Other
BEV",2
Dunlap - Huntington Harbor,5,"Other
BEV",112
Dunlap - Huntington Harbor,5,Tesla,182
Dunlap - Huntington Harbor,7,"Other
BEV",184
Dunlap - Huntington Harbor,7,Tesla,289
Dunlap - Huntington Harbor,10,"Other
BEV",437
Dunlap - Huntington Harbor,10,Tesla,735
Energy Innovation Center,5,"Other
BEV",45
Energy Innovation Center,5,Tesla,21
Energy Innovation Center,7,"Other
BEV",123
Energy Innovation Center,7,Tesla,61
Energy Innovation Center,10,"Other
BEV",430
Energy Innovation Center,10,Tesla,273
Esplanade Shopping Center,5,"Other
BEV",8
Esplanade Shopping Center,5,Tesla,8
Esplanade Shopping Center,7,"Other
BEV",31
Esplanade Shopping Center,7,Tesla,27
Esplanade Shopping Center,10,"Other
BEV",89
Esplanade Shopping Center,10,Tesla,92
F&E Calimesa #1238,5,"Other
BEV",4
F&E Calimesa #1238,5,Tesla,4
F&E Calimesa #1238,7,"Other
BEV",10
F&E Calimesa #1238,7,Tesla,7
F&E Calimesa #1238,10,"Other
BEV",28
F&E Calimesa #1238,10,Tesla,24
F&E Hayward #1307,5,"Other
BEV",13
F&E Hayward #1307,5,Tesla,6
F&E Hayward #1307,7,"Other
BEV",60
F&E Hayward #1307,7,Tesla,31
F&E Hayward #1307,10,"Other
BEV",168
F&E Hayward #1307,10,Tesla,97
F&E Long Beach #1353,5,"Other
BEV",92
F&E Long Beach #1353,5,Tesla,48
F&E Long Beach #1353,7,"Other
BEV",195
F&E Long Beach #1353,7,Tesla,111
F&E Long Beach #1353,10,"Other
BEV",504
F&E Long Beach #1353,10,Tesla,268
F&E Manhattan Beach #1063,5,"Other
BEV",83
F&E Manhattan Beach #1063,5,Tesla,158
F&E Manhattan Beach #1063,7,"Other
BEV",278
F&E Manhattan Beach #1063,7,Tesla,553
F&E Manhattan Beach #1063,10,"Other
BEV",761
F&E Manhattan Beach #1063,10,Tesla,1350
F&E Norwalk #1033,5,"Other
BEV",28
F&E Norwalk #1033,5,Tesla,6
F&E Norwalk #1033,7,"Other
BEV",87
F&E Norwalk #1033,7,Tesla,36
F&E Norwalk #1033,10,"Other
BEV",257
F&E Norwalk #1033,10,Tesla,156
F&E Ontario #1164,5,"Other
BEV",20
F&E Ontario #1164,5,Tesla,13
F&E Ontario #1164,7,"Other
BEV",49
F&E Ontario #1164,7,Tesla,35
F&E Ontario #1164,10,"Other
BEV",132
F&E Ontario #1164,10,Tesla,110
F&E Rosemead #1445,5,"Other
BEV",61
F&E Rosemead #1445,5,Tesla,74
F&E Rosemead #1445,7,"Other
BEV",187
F&E Rosemead #1445,7,Tesla,198
F&E Rosemead #1445,10,"Other
BEV",511
F&E Rosemead #1445,10,Tesla,494
F&E Signal Hill #1278,5,"Other
BEV",64
F&E Signal Hill #1278,5,Tesla,38
F&E Signal Hill #1278,7,"Other
BEV",119
F&E Signal Hill #1278,7,Tesla,66
F&E Signal Hill #1278,10,"Other
BEV",358
F&E Signal Hill #1278,10,Tesla,173
F&E Sunnyvale #1319 - Via Retail,5,"Other
BEV",173
F&E Sunnyvale #1319 - Via Retail,5,Tesla,159
F&E Sunnyvale #1319 - Via Retail,7,"Other
BEV",328
F&E Sunnyvale #1319 - Via Retail,7,Tesla,278
F&E Sunnyvale #1319 - Via Retail,10,"Other
BEV",945
F&E Sunnyvale #1319 - Via Retail,10,Tesla,803
Fairfield - Verdant Freedom Station,5,"Other
BEV",200
Fairfield - Verdant Freedom Station,5,Tesla,180
Fairfield - Verdant Freedom Station,7,"Other
BEV",371
Fairfield - Verdant Freedom Station,7,Tesla,337
Fairfield - Verdant Freedom Station,10,"Other
BEV",1063
Fairfield - Verdant Freedom Station,10,Tesla,838
Fashion Fair Mall,5,"Other
BEV",8
Fashion Fair Mall,5,Tesla,4
Fashion Fair Mall,7,"Other
BEV",37
Fashion Fair Mall,7,Tesla,11
Fashion Fair Mall,10,"Other
BEV",111
Fashion Fair Mall,10,Tesla,46
Fashion Valley,5,"Other
BEV",7
Fashion Valley,5,Tesla,7
Fashion Valley,7,"Other
BEV",66
Fashion Valley,7,Tesla,80
Fashion Valley,10,"Other
BEV",487
Fashion Valley,10,Tesla,444
Fenton Marketplace,5,"Other
BEV",8
Fenton Marketplace,5,Tesla,11
Fenton Marketplace,7,"Other
BEV",27
Fenton Marketplace,7,Tesla,35
Fenton Marketplace,10,"Other
BEV",199
Fenton Marketplace,10,Tesla,173
Flower Hill Promenade,5,"Other
BEV",13
Flower Hill Promenade,5,Tesla,35
Flower Hill Promenade,7,"Other
BEV",82
Flower Hill Promenade,7,Tesla,189
Flower Hill Promenade,10,"Other
BEV",382
Flower Hill Promenade,10,Tesla,691
Gateway Plaza-Vallejo,5,"Other
BEV",9
Gateway Plaza-Vallejo,5,Tesla,11
Gateway Plaza-Vallejo,7,"Other
BEV",27
Gateway Plaza-Vallejo,7,Tesla,25
Gateway Plaza-Vallejo,10,"Other
BEV",97
Gateway Plaza-Vallejo,10,Tesla,55
Gateway Plaza - Santa Fe Springs,5,"Other
BEV",10
Gateway Plaza - Santa Fe Springs,5,Tesla,5
Gateway Plaza - Santa Fe Springs,7,"Other
BEV",47
Gateway Plaza - Santa Fe Springs,7,Tesla,27
Gateway Plaza - Santa Fe Springs,10,"Other
BEV",145
Gateway Plaza - Santa Fe Springs,10,Tesla,89
Gelson's Calabasas,5,"Other
BEV",56
Gelson's Calabasas,5,Tesla,59
Gelson's Calabasas,7,"Other
BEV",103
Gelson's Calabasas,7,Tesla,114
Gelson's Calabasas,10,"Other
BEV",225
Gelson's Calabasas,10,Tesla,333
Gelsons Sherman Oaks,5,"Other
BEV",103
Gelsons Sherman Oaks,5,Tesla,138
Gelsons Sherman Oaks,7,"Other
BEV",285
Gelsons Sherman Oaks,7,Tesla,404
Gelsons Sherman Oaks,10,"Other
BEV",625
Gelsons Sherman Oaks,10,Tesla,895
Gilroy Premium Outlets,5,"Other
BEV",1
Gilroy Premium Outlets,5,Tesla,1
Gilroy Premium Outlets,7,"Other
BEV",24
Gilroy Premium Outlets,7,Tesla,21
Gilroy Premium Outlets,10,"Other
BEV",79
Gilroy Premium Outlets,10,Tesla,69
Great Mall,5,"Other
BEV",103
Great Mall,5,Tesla,78
Great Mall,7,"Other
BEV",310
Great Mall,7,Tesla,221
Great Mall,10,"Other
BEV",931
Great Mall,10,Tesla,669
Hollywest Promenade,5,"Other
BEV",161
Hollywest Promenade,5,Tesla,150
Hollywest Promenade,7,"Other
BEV",349
Hollywest Promenade,7,Tesla,322
Hollywest Promenade,10,"Other
BEV",821
Hollywest Promenade,10,Tesla,725
Ince Garage,5,"Other
BEV",135
Ince Garage,5,Tesla,85
Ince Garage,7,"Other
BEV",343
Ince Garage,7,Tesla,263
Ince Garage,10,"Other
BEV",870
Ince Garage,10,Tesla,756
Inland Center,5,"Other
BEV",0
Inland Center,5,Tesla,0
Inland Center,7,"Other
BEV",2
Inland Center,7,Tesla,3
Inland Center,10,"Other
BEV",19
Inland Center,10,Tesla,12
IQ Air - La Mirada,5,"Other
BEV",6
IQ Air - La Mirada,5,Tesla,9
IQ Air - La Mirada,7,"Other
BEV",55
IQ Air - La Mirada,7,Tesla,53
IQ Air - La Mirada,10,"Other
BEV",274
IQ Air - La Mirada,10,Tesla,211
Lake Elsinore Outlet Mall,5,"Other
BEV",4
Lake Elsinore Outlet Mall,5,Tesla,3
Lake Elsinore Outlet Mall,7,"Other
BEV",13
Lake Elsinore Outlet Mall,7,Tesla,7
Lake Elsinore Outlet Mall,10,"Other
BEV",44
Lake Elsinore Outlet Mall,10,Tesla,30
Lakewood Center,5,"Other
BEV",10
Lakewood Center,5,Tesla,7
Lakewood Center,7,"Other
BEV",55
Lakewood Center,7,Tesla,30
Lakewood Center,10,"Other
BEV",211
Lakewood Center,10,Tesla,99
Larwin Square,5,"Other
BEV",35
Larwin Square,5,Tesla,29
Larwin Square,7,"Other
BEV",116
Larwin Square,7,Tesla,112
Larwin Square,10,"Other
BEV",344
Larwin Square,10,Tesla,432
Las Americas Premium Outlets,5,"Other
BEV",1
Las Americas Premium Outlets,7,"Other
BEV",3
Las Americas Premium Outlets,7,Tesla,0
Las Americas Premium Outlets,10,"Other
BEV",11
Las Americas Premium Outlets,10,Tesla,4
Las Palmas Shopping Center - Paragon,5,"Other
BEV",3
Las Palmas Shopping Center - Paragon,5,Tesla,9
Las Palmas Shopping Center - Paragon,7,"Other
BEV",11
Las Palmas Shopping Center - Paragon,7,Tesla,37
Las Palmas Shopping Center - Paragon,10,"Other
BEV",38
Las Palmas Shopping Center - Paragon,10,Tesla,123
Lazy Acres - Encinitas,5,"Other
BEV",20
Lazy Acres - Encinitas,5,Tesla,21
Lazy Acres - Encinitas,7,"Other
BEV",81
Lazy Acres - Encinitas,7,Tesla,90
Lazy Acres - Encinitas,10,"Other
BEV",236
Lazy Acres - Encinitas,10,Tesla,297
Lazy Acres - Hermosa Beach,5,"Other
BEV",386
Lazy Acres - Hermosa Beach,5,Tesla,630
Lazy Acres - Hermosa Beach,7,"Other
BEV",685
Lazy Acres - Hermosa Beach,7,Tesla,1144
Lazy Acres - Hermosa Beach,10,"Other
BEV",1130
Lazy Acres - Hermosa Beach,10,Tesla,1868
Lazy Acres - HIllcrest,5,"Other
BEV",86
Lazy Acres - HIllcrest,5,Tesla,71
Lazy Acres - HIllcrest,7,"Other
BEV",185
Lazy Acres - HIllcrest,7,Tesla,183
Lazy Acres - HIllcrest,10,"Other
BEV",498
Lazy Acres - HIllcrest,10,Tesla,451
Legacy - Nineteen800 Freedom Station,5,"Other
BEV",253
Legacy - Nineteen800 Freedom Station,5,Tesla,189
Legacy - Nineteen800 Freedom Station,7,"Other
BEV",932
Legacy - Nineteen800 Freedom Station,7,Tesla,640
Legacy - Nineteen800 Freedom Station,10,"Other
BEV",3230
Legacy - Nineteen800 Freedom Station,10,Tesla,2261
Lincoln Place Apartments,5,"Other
BEV",253
Lincoln Place Apartments,5,Tesla,209
Lincoln Place Apartments,7,"Other
BEV",506
Lincoln Place Apartments,7,Tesla,479
